IA,IA,IA,IA,IA,,TOTAL (SUM),MEAN,VARIANCE,TIMESTEPS TO GAME END
0.0,0.0,0.0,9.0,3.0,,12.0,2.4,12.239999999999998,85
1.0,0.0,1.0,1.0,1.0,,4.0,0.8,0.16000000000000006,26
2.0,2.0,0.0,1.0,0.0,,5.0,1.0,0.8,18
3.0,19.0,0.0,0.0,0.0,,22.0,4.4,54.64000000000001,135
12.0,0.0,12.0,0.0,0.0,,24.0,4.8,34.559999999999995,80
5.0,0.0,0.0,5.0,0.0,,10.0,2.0,6.0,59
11.0,1.0,7.0,0.0,0.0,,19.0,3.8,19.759999999999998,59
1.0,0.0,3.0,1.0,3.0,,8.0,1.6,1.4400000000000002,31
0.0,1.0,2.0,0.0,0.0,,3.0,0.6,0.6399999999999999,47
6.0,0.0,0.0,0.0,0.0,,6.0,1.2,5.760000000000001,58
2.0,0.0,1.0,1.0,0.0,,4.0,0.8,0.56,23
0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,50
10.0,0.0,0.0,3.0,3.0,,16.0,3.2,13.360000000000003,86
0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,36
0.0,0.0,1.0,0.0,0.0,,1.0,0.2,0.16000000000000006,47
1.0,0.0,4.0,0.0,0.0,,5.0,1.0,2.4,63
1.0,0.0,0.0,0.0,1.0,,2.0,0.4,0.24000000000000005,48
1.0,4.0,1.0,0.0,0.0,,6.0,1.2,2.1599999999999997,57
0.0,0.0,5.0,1.0,4.0,,10.0,2.0,4.4,59
3.0,0.0,0.0,0.0,0.0,,3.0,0.6,1.4400000000000002,126
0.0,0.0,0.0,2.0,1.0,,3.0,0.6,0.64,46
0.0,0.0,6.0,0.0,0.0,,6.0,1.2,5.76,104
0.0,6.0,12.0,12.0,16.0,,46.0,9.2,31.360000000000003,131
0.0,0.0,6.0,1.0,0.0,,7.0,1.4,5.4399999999999995,99
0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,50
5.0,0.0,0.0,0.0,3.0,,8.0,1.6,4.24,50
1.0,0.0,0.0,0.0,0.0,,1.0,0.2,0.16000000000000006,30
1.0,0.0,1.0,0.0,0.0,,2.0,0.4,0.24000000000000005,9
0.0,1.0,0.0,0.0,1.0,,2.0,0.4,0.24000000000000005,24
5.0,4.0,2.0,4.0,0.0,,15.0,3.0,3.2,45
1.0,0.0,1.0,2.0,4.0,,8.0,1.6,1.8400000000000003,36
0.0,1.0,0.0,0.0,3.0,,4.0,0.8,1.36,61
5.0,1.0,0.0,0.0,0.0,,6.0,1.2,3.7600000000000002,62
1.0,2.0,1.0,3.0,2.0,,9.0,1.8,0.56,29
0.0,0.0,2.0,0.0,0.0,,2.0,0.4,0.6400000000000002,42
4.0,0.0,0.0,0.0,0.0,,4.0,0.8,2.560000000000001,45
1.0,0.0,0.0,0.0,0.0,,1.0,0.2,0.16000000000000006,46
2.0,1.0,1.0,0.0,0.0,,4.0,0.8,0.56,17
0.0,0.0,0.0,2.0,0.0,,2.0,0.4,0.6400000000000001,34
0.0,0.0,3.0,3.0,9.0,,15.0,3.0,10.8,77
1.0,2.0,0.0,2.0,1.0,,6.0,1.2,0.56,50
0.0,3.0,0.0,0.0,2.0,,5.0,1.0,1.6,71
2.0,1.0,0.0,4.0,0.0,,7.0,1.4,2.2399999999999998,49
0.0,0.0,0.0,2.0,1.0,,3.0,0.6,0.64,47
0.0,1.0,1.0,0.0,0.0,,2.0,0.4,0.24000000000000005,32
0.0,2.0,7.0,3.0,1.0,,13.0,2.6,5.840000000000001,55
0.0,8.0,2.0,0.0,0.0,,10.0,2.0,9.6,70
1.0,0.0,2.0,0.0,2.0,,5.0,1.0,0.8,18
1.0,0.0,0.0,0.0,1.0,,2.0,0.4,0.24000000000000005,45
6.0,2.0,0.0,0.0,2.0,,10.0,2.0,4.8,37
