FR,FR,FR,FR,FR,,TOTAL (SUM),MEAN,VARIANCE,TIMESTEPS TO GAME END
472.0,533.0,504.0,473.0,526.0,,2508.0,501.6,656.24,999
499.0,449.0,457.0,478.0,471.0,,2354.0,470.8,302.56,999
492.0,467.0,466.0,444.0,459.0,,2328.0,465.6,241.84,999
458.0,494.0,489.0,468.0,485.0,,2394.0,478.8,184.56,999
482.0,542.0,495.0,445.0,492.0,,2456.0,491.2,962.96,999
405.0,444.0,436.0,445.0,424.0,,2154.0,430.8,222.95999999999998,999
393.0,489.0,421.0,467.0,441.0,,2211.0,442.2,1135.3600000000001,999
489.0,462.0,470.0,472.0,455.0,,2348.0,469.6,130.64,999
477.0,458.0,423.0,445.0,492.0,,2295.0,459.0,581.2,999
454.0,463.0,491.0,459.0,408.0,,2275.0,455.0,717.2,999
16.0,16.0,10.0,20.0,15.0,,77.0,15.4,10.24,86
6.0,23.0,25.0,34.0,19.0,,107.0,21.4,83.44000000000001,144
13.0,10.0,9.0,9.0,14.0,,55.0,11.0,4.4,70
452.0,435.0,454.0,479.0,472.0,,2292.0,458.4,243.43999999999997,999
6.0,2.0,3.0,3.0,5.0,,19.0,3.8,2.16,45
474.0,375.0,471.0,506.0,467.0,,2293.0,458.6,1939.4399999999998,999
459.0,411.0,497.0,467.0,396.0,,2230.0,446.0,1387.2,999
426.0,467.0,476.0,487.0,470.0,,2326.0,465.2,430.96000000000004,999
496.0,483.0,450.0,461.0,463.0,,2353.0,470.6,274.64000000000004,999
26.0,6.0,25.0,18.0,32.0,,107.0,21.4,79.04,137
428.0,460.0,446.0,513.0,460.0,,2307.0,461.4,803.84,999
481.0,495.0,455.0,496.0,481.0,,2408.0,481.6,219.04000000000002,999
488.0,468.0,457.0,447.0,483.0,,2343.0,468.6,237.03999999999996,999
369.0,403.0,414.0,461.0,463.0,,2110.0,422.0,1287.2,999
17.0,25.0,41.0,52.0,26.0,,161.0,32.2,158.16,178
463.0,512.0,507.0,461.0,455.0,,2398.0,479.6,605.44,999
461.0,445.0,501.0,465.0,454.0,,2326.0,465.2,366.56,999
40.0,34.0,23.0,44.0,28.0,,169.0,33.8,58.56,160
477.0,402.0,462.0,458.0,452.0,,2251.0,450.2,648.96,999
537.0,463.0,473.0,483.0,471.0,,2427.0,485.4,706.2399999999999,999
30.0,22.0,6.0,31.0,22.0,,111.0,22.2,80.16,175
502.0,417.0,475.0,421.0,509.0,,2324.0,464.8,1528.9600000000003,999
451.0,490.0,446.0,480.0,483.0,,2350.0,470.0,321.2,999
39.0,44.0,24.0,34.0,18.0,,159.0,31.8,91.35999999999999,182
6.0,3.0,4.0,10.0,5.0,,28.0,5.6,5.84,46
7.0,5.0,2.0,10.0,6.0,,30.0,6.0,6.8,39
496.0,464.0,433.0,435.0,394.0,,2222.0,444.4,1161.04,999
4.0,2.0,1.0,5.0,7.0,,19.0,3.8,4.5600000000000005,28
5.0,3.0,6.0,3.0,4.0,,21.0,4.2,1.3599999999999999,49
445.0,453.0,419.0,466.0,504.0,,2287.0,457.4,778.6400000000001,999
10.0,5.0,4.0,4.0,4.0,,27.0,5.4,5.4399999999999995,51
6.0,7.0,9.0,14.0,10.0,,46.0,9.2,7.76,77
415.0,460.0,445.0,455.0,461.0,,2236.0,447.2,291.36,999
440.0,451.0,474.0,420.0,387.0,,2172.0,434.4,865.8400000000001,999
427.0,447.0,346.0,395.0,449.0,,2064.0,412.8,1492.1599999999999,999
468.0,453.0,443.0,455.0,453.0,,2272.0,454.4,63.83999999999999,999
450.0,477.0,471.0,467.0,450.0,,2315.0,463.0,122.8,999
7.0,2.0,14.0,6.0,14.0,,43.0,8.6,22.24,59
475.0,455.0,473.0,435.0,432.0,,2270.0,454.0,329.6,999
486.0,494.0,470.0,445.0,457.0,,2352.0,470.4,325.03999999999996,999
