IA,IA,IA,IA,IA,,TOTAL (SUM),MEAN,VARIANCE,TIMESTEPS TO GAME END
385.0,375.0,395.0,369.0,402.0,,1926.0,385.2,148.95999999999998,999
402.0,415.0,414.0,397.0,407.0,,2035.0,407.0,47.6,999
397.0,414.0,382.0,401.0,397.0,,1991.0,398.2,104.55999999999999,999
399.0,398.0,409.0,383.0,404.0,,1993.0,398.6,76.24,999
412.0,382.0,399.0,406.0,400.0,,1999.0,399.8,100.96000000000002,999
389.0,380.0,364.0,396.0,399.0,,1928.0,385.6,159.44,999
378.0,384.0,388.0,385.0,362.0,,1897.0,379.4,86.24,999
357.0,391.0,363.0,365.0,376.0,,1852.0,370.4,143.83999999999997,999
400.0,408.0,402.0,397.0,374.0,,1981.0,396.2,136.16,999
361.0,393.0,396.0,381.0,404.0,,1935.0,387.0,223.6,999
391.0,368.0,346.0,383.0,368.0,,1856.0,371.2,237.35999999999999,999
389.0,402.0,386.0,398.0,386.0,,1961.0,392.2,43.36,999
389.0,375.0,379.0,401.0,395.0,,1939.0,387.8,93.75999999999999,999
374.0,378.0,396.0,373.0,388.0,,1909.0,381.8,78.55999999999999,999
386.0,405.0,402.0,390.0,401.0,,1984.0,396.8,54.96,999
379.0,382.0,373.0,329.0,368.0,,1831.0,366.2,369.36,999
378.0,381.0,388.0,381.0,368.0,,1896.0,379.2,42.16,999
391.0,375.0,379.0,400.0,389.0,,1934.0,386.8,79.36,999
370.0,381.0,375.0,385.0,381.0,,1892.0,378.4,27.839999999999996,999
388.0,365.0,388.0,404.0,390.0,,1935.0,387.0,156.8,999
382.0,383.0,400.0,401.0,394.0,,1960.0,392.0,66.0,999
351.0,377.0,367.0,384.0,386.0,,1865.0,373.0,165.2,999
386.0,392.0,381.0,398.0,397.0,,1954.0,390.8,42.16,999
399.0,402.0,370.0,376.0,395.0,,1942.0,388.4,166.64,999
399.0,391.0,396.0,353.0,378.0,,1917.0,383.4,282.64,999
364.0,400.0,410.0,392.0,392.0,,1958.0,391.6,234.24000000000007,999
410.0,396.0,398.0,399.0,392.0,,1995.0,399.0,36.0,999
351.0,384.0,390.0,385.0,378.0,,1888.0,377.6,191.44,999
387.0,390.0,393.0,379.0,386.0,,1935.0,387.0,22.0,999
368.0,392.0,389.0,404.0,389.0,,1942.0,388.4,134.64,999
415.0,389.0,398.0,397.0,398.0,,1997.0,399.4,72.23999999999998,999
406.0,390.0,396.0,388.0,395.0,,1975.0,395.0,39.2,999
395.0,392.0,390.0,401.0,386.0,,1964.0,392.8,25.36,999
368.0,396.0,404.0,373.0,380.0,,1921.0,384.2,187.36,999
403.0,386.0,392.0,398.0,389.0,,1968.0,393.6,37.839999999999996,999
395.0,385.0,386.0,399.0,402.0,,1967.0,393.4,46.64,999
385.0,377.0,295.0,376.0,388.0,,1821.0,364.2,1218.16,999
381.0,398.0,396.0,398.0,390.0,,1963.0,392.6,42.23999999999999,999
355.0,373.0,392.0,381.0,382.0,,1883.0,376.6,153.04,999
391.0,367.0,392.0,370.0,377.0,,1897.0,379.4,108.23999999999998,999
408.0,390.0,410.0,406.0,419.0,,2033.0,406.6,88.63999999999999,999
390.0,380.0,376.0,368.0,376.0,,1890.0,378.0,51.2,999
393.0,398.0,388.0,375.0,383.0,,1937.0,387.4,63.43999999999998,999
407.0,404.0,411.0,406.0,399.0,,2027.0,405.4,15.440000000000001,999
379.0,388.0,382.0,392.0,384.0,,1925.0,385.0,20.8,999
382.0,382.0,377.0,390.0,377.0,,1908.0,381.6,22.64,999
398.0,396.0,387.0,386.0,348.0,,1915.0,383.0,328.8,999
390.0,395.0,383.0,379.0,364.0,,1911.0,382.2,113.35999999999999,999
404.0,381.0,390.0,389.0,386.0,,1950.0,390.0,58.8,999
396.0,393.0,414.0,394.0,371.0,,1968.0,393.6,186.64,999
