FR,FR,FR,FR,FR,,IA AVERAGE,FR AVERAGE
347.0,345.0,311.0,312.0,377.0,,-1,338.4
142.0,115.0,204.0,105.0,133.0,,-1,139.8
52.0,60.0,21.0,46.0,35.0,,-1,42.8
95.0,29.0,15.0,41.0,79.0,,-1,51.8
422.0,438.0,399.0,427.0,406.0,,-1,418.4
445.0,430.0,397.0,416.0,461.0,,-1,429.8
439.0,422.0,383.0,414.0,387.0,,-1,409.0
25.0,52.0,33.0,44.0,8.0,,-1,32.4
376.0,340.0,383.0,365.0,360.0,,-1,364.8
452.0,377.0,347.0,413.0,387.0,,-1,395.2
377.0,435.0,432.0,392.0,413.0,,-1,409.8
389.0,414.0,428.0,429.0,418.0,,-1,415.6
348.0,432.0,387.0,399.0,420.0,,-1,397.2
41.0,17.0,26.0,26.0,33.0,,-1,28.6
403.0,426.0,361.0,440.0,448.0,,-1,415.6
83.0,56.0,48.0,65.0,32.0,,-1,56.8
463.0,436.0,388.0,444.0,446.0,,-1,435.4
16.0,10.0,11.0,7.0,22.0,,-1,13.2
41.0,23.0,12.0,13.0,24.0,,-1,22.6
80.0,33.0,41.0,50.0,45.0,,-1,49.8
29.0,35.0,18.0,6.0,46.0,,-1,26.8
114.0,115.0,114.0,95.0,117.0,,-1,111.0
14.0,4.0,21.0,20.0,7.0,,-1,13.2
19.0,25.0,31.0,34.0,16.0,,-1,25.0
27.0,34.0,17.0,20.0,19.0,,-1,23.4
59.0,59.0,112.0,73.0,27.0,,-1,66.0
81.0,57.0,51.0,28.0,71.0,,-1,57.6
73.0,64.0,58.0,46.0,66.0,,-1,61.4
31.0,44.0,33.0,14.0,39.0,,-1,32.2
13.0,12.0,11.0,20.0,20.0,,-1,15.2
18.0,24.0,20.0,21.0,15.0,,-1,19.6
336.0,328.0,371.0,342.0,323.0,,-1,340.0
315.0,414.0,364.0,429.0,339.0,,-1,372.2
16.0,9.0,13.0,4.0,16.0,,-1,11.6
37.0,18.0,26.0,37.0,51.0,,-1,33.8
364.0,404.0,474.0,437.0,435.0,,-1,422.8
466.0,407.0,445.0,466.0,426.0,,-1,442.0
17.0,20.0,16.0,20.0,10.0,,-1,16.6
356.0,356.0,380.0,377.0,346.0,,-1,363.0
427.0,422.0,407.0,345.0,387.0,,-1,397.6
