FR,FR,FR,FR,FR,FR,FR,FR,FR,FR,,TOTAL (SUM),MEAN,STAND. DEVI.,INEQUALITY,SUSTAINABILITY,Aggressivity,TIMESTEPS TO GAME END
34.0,9.0,21.0,23.0,8.0,65.0,1.0,65.0,1.0,29.0,,256.0,25.6,22.383922801868312,0.4749999981445313,297.70975856592594,84.0,640
23.0,24.0,32.0,15.0,29.0,31.0,27.0,0.0,31.0,16.0,,228.0,22.8,9.505787710652914,0.2175438586949831,93.74182916921426,25.0,217
9.0,10.0,18.0,15.0,11.0,19.0,16.0,22.0,12.0,13.0,,145.0,14.5,4.031128874149275,0.1579310333935791,54.54069401618947,18.0,137
17.0,0.0,20.0,16.0,19.0,17.0,12.0,2.0,20.0,0.0,,123.0,12.3,7.937883848986455,0.34227641998149255,64.87490443353038,26.0,195
32.0,28.0,30.0,4.0,13.0,27.0,2.0,27.0,22.0,26.0,,211.0,21.1,10.30970416646375,0.25734597034433193,92.14522309833384,19.0,193
25.0,27.0,20.0,13.0,0.0,17.0,26.0,21.0,8.0,18.0,,175.0,17.5,8.090117428072352,0.25314285569632655,84.40393461830074,26.0,194
22.0,24.0,10.0,13.0,4.0,21.0,11.0,16.0,16.0,21.0,,158.0,15.8,6.029925372672534,0.21392404927896172,59.61491258280578,19.0,146
32.0,0.0,32.0,27.0,18.0,30.0,21.0,21.0,17.0,25.0,,223.0,22.3,9.077995373429092,0.2130044833497557,112.18292388043433,38.0,284
18.0,21.0,17.0,44.0,28.0,28.0,47.0,27.0,20.0,2.0,,252.0,25.2,12.448293055676348,0.267460316398967,145.090161058092,42.0,320
11.0,11.0,15.0,45.0,114.0,4.0,5.0,45.0,96.0,43.0,,389.0,38.9,36.72451497297139,0.49537274936922177,484.093948141861,143.0,999
32.0,29.0,30.0,34.0,30.0,24.0,22.0,32.0,22.0,0.0,,255.0,25.5,9.41541289588513,0.1745098032372165,115.17263947238352,32.0,286
7.0,62.0,46.0,1.0,24.0,0.0,75.0,19.0,19.0,64.0,,317.0,31.7,26.419878879359004,0.4659305978992726,308.3230596880459,79.0,663
0.0,1.0,13.0,0.0,30.0,4.0,13.0,0.0,22.0,9.0,,92.0,9.2,9.867117106835208,0.5760869502599245,184.543246002243,74.0,436
6.0,36.0,9.0,38.0,28.0,24.0,47.0,42.0,2.0,50.0,,282.0,28.2,16.557777628655362,0.33120567258437705,170.42756334006964,45.0,417
67.0,2.0,9.0,29.0,77.0,10.0,0.0,13.0,67.0,0.0,,274.0,27.4,29.31620712165883,0.5656934285923598,291.4133201016135,79.0,619
55.0,1.0,5.0,10.0,41.0,18.0,26.0,70.0,10.0,92.0,,328.0,32.8,29.21917178839948,0.4878048765615705,462.85931314409237,145.0,999
35.0,25.0,85.0,15.0,67.0,40.0,31.0,24.0,56.0,61.0,,439.0,43.9,21.23887944313447,0.27129840484897855,487.1064676164445,177.0,999
70.0,18.0,1.0,15.0,15.0,8.0,9.0,33.0,30.0,66.0,,265.0,26.5,22.677080940897135,0.45094339452474197,478.6540868097824,129.0,999
102.0,57.0,76.0,52.0,6.0,54.0,59.0,67.0,34.0,80.0,,587.0,58.7,24.80745855584566,0.22947189058011605,482.34990415325257,124.0,999
5.0,44.0,37.0,3.0,54.0,27.0,20.0,15.0,1.0,7.0,,213.0,21.3,17.669465187152667,0.4643192466463886,510.6958630027988,187.0,999
74.0,101.0,18.0,88.0,48.0,97.0,64.0,54.0,55.0,6.0,,605.0,60.5,29.88059571025986,0.2771900821864627,505.060415415284,114.0,999
53.0,106.0,1.0,23.0,38.0,106.0,4.0,54.0,10.0,10.0,,405.0,40.5,37.39585538532312,0.4995061716061576,500.942814916522,120.0,999
42.0,94.0,43.0,21.0,92.0,45.0,53.0,7.0,53.0,104.0,,554.0,55.4,30.282668310437906,0.3018050536068501,506.4561950867662,147.0,999
17.0,37.0,43.0,106.0,55.0,20.0,12.0,49.0,1.0,7.0,,347.0,34.7,29.533201655086433,0.44985590648456514,496.5262510598509,127.0,999
58.0,40.0,7.0,5.0,56.0,29.0,112.0,63.0,133.0,34.0,,537.0,53.7,39.41585975213531,0.3994413400382843,494.38973356972474,117.0,999
31.0,5.0,75.0,87.0,0.0,86.0,87.0,41.0,21.0,88.0,,521.0,52.1,34.44836716014273,0.36372360774717166,524.5878760982254,146.0,999
66.0,10.0,70.0,6.0,53.0,51.0,105.0,49.0,55.0,33.0,,498.0,49.8,27.46197370911275,0.3004016058224868,498.16520274045644,112.0,999
47.0,26.0,9.0,0.0,82.0,59.0,3.0,65.0,6.0,17.0,,314.0,31.4,28.054233192158364,0.4968152850419896,308.0499728690138,97.0,706
7.0,71.0,92.0,57.0,45.0,32.0,0.0,18.0,84.0,85.0,,491.0,49.1,32.169706246716025,0.3733197548404894,503.4951810233495,168.0,999
