FR,FR,FR,FR,FR,FR,FR,FR,FR,FR,,TOTAL (SUM),MEAN,STAND. DEVI.,INEQUALITY,SUSTAINABILITY,Aggressivity,TIMESTEPS TO GAME END,HIT
59.0,17.0,55.0,23.0,27.0,16.0,10.0,106.0,12.0,0.0,,325.0,32.5,30.37515432059564,0.4772307677623669,510.1948199946661,10.8,999,0.5
46.0,78.0,103.0,38.0,40.0,41.0,28.0,71.0,21.0,2.0,,468.0,46.8,28.109784773277795,0.330769230062459,507.92585330320725,15.2,999,0.1
1.0,41.0,16.0,111.0,8.0,89.0,63.0,0.0,17.0,60.0,,406.0,40.6,36.903116399567125,0.5039408854582738,452.6625026857581,12.3,999,0.3
22.0,45.0,78.0,97.0,85.0,53.0,48.0,15.0,79.0,18.0,,540.0,54.0,28.231188426986208,0.2955555550082305,436.52289479439315,11.0,852,0.0
4.0,33.0,43.0,4.0,28.0,50.0,78.0,42.0,34.0,46.0,,362.0,36.2,20.663010429267075,0.30828729196605725,327.1819286184526,8.4,694,0.1
0.0,0.0,0.0,0.0,16.0,0.0,20.0,10.0,0.0,29.0,,75.0,7.5,10.171037311896953,0.6813333242488891,85.55797958543482,4.5,295,0.0
3.0,21.0,0.0,28.0,10.0,28.0,40.0,8.0,1.0,29.0,,168.0,16.8,13.422369388450015,0.44761904495464855,132.7062255728836,4.6,340,0.0
39.0,35.0,38.0,35.0,56.0,20.0,26.0,64.0,50.0,30.0,,393.0,39.3,12.95414991421668,0.18346055932961686,334.9437460636683,7.8,653,0.1
19.0,2.0,5.0,26.0,25.0,18.0,16.0,7.0,28.0,19.0,,165.0,16.5,8.616843969807043,0.29151514974839304,84.7402898405065,3.0,205,0.0
1.0,7.0,11.0,35.0,2.0,18.0,21.0,10.0,36.0,0.0,,141.0,14.1,12.541531007018241,0.49007091851013534,145.40249775567958,11.3,346,0.0
14.0,10.0,19.0,19.0,19.0,9.0,18.0,13.0,12.0,0.0,,133.0,13.3,5.728001396647874,0.2293233065464413,56.59169428012592,1.6,135,0.0
21.0,19.0,23.0,26.0,17.0,28.0,34.0,22.0,31.0,31.0,,252.0,25.2,5.3999999999999995,0.12222222173721342,120.84515185810169,4.5,233,0.0
34.0,7.0,29.0,23.0,30.0,0.0,33.0,14.0,9.0,38.0,,217.0,21.7,12.554282137979852,0.3248847911295632,109.88221404168094,2.3,247,0.0
15.0,20.0,20.0,11.0,1.0,10.0,11.0,11.0,11.0,13.0,,123.0,12.3,5.158488150611572,0.2170731689668848,42.07110382426255,1.2,112,0.0
27.0,40.0,38.0,30.0,8.0,38.0,34.0,29.0,25.0,26.0,,295.0,29.5,8.811923740024081,0.15627118591094516,128.37576000819092,3.7,323,0.0
5.0,2.0,21.0,24.0,12.0,8.0,2.0,27.0,21.0,24.0,,146.0,14.6,9.340235543068493,0.3575342441264778,73.95378136587304,2.6,183,0.0
19.0,26.0,20.0,14.0,30.0,23.0,22.0,1.0,20.0,16.0,,191.0,19.1,7.449161026585477,0.2036649203996601,91.79053525344497,3.8,256,0.0
10.0,20.0,12.0,2.0,16.0,14.0,14.0,19.0,20.0,14.0,,141.0,14.1,5.146843692983108,0.1936170199034254,63.4531142148227,1.7,180,0.0
20.0,18.0,20.0,27.0,24.0,17.0,2.0,5.0,12.0,25.0,,170.0,17.0,7.912016177940993,0.25647058672664363,80.05774205105504,1.7,169,0.0
